DATE,FPCPITOTLZGUSA
1990-01-01,5.39795643990322
1991-01-01,4.23496396453853
1992-01-01,3.0288196781497
1993-01-01,2.95165696638554
1994-01-01,2.6074415921546
1995-01-01,2.80541968853655
1996-01-01,2.9312041999344
1997-01-01,2.33768993730741
1998-01-01,1.55227909874362
1999-01-01,2.18802719697358
2000-01-01,3.37685727149935
2001-01-01,2.82617111885402
2002-01-01,1.58603162650603
2003-01-01,2.27009497336113
2004-01-01,2.67723669309173
2005-01-01,3.39274684549547
2006-01-01,3.22594410070407
2007-01-01,2.85267248150136
2008-01-01,3.83910029665101
2009-01-01,-0.35554626629975
2010-01-01,1.64004344238989
2011-01-01,3.15684156862206
2012-01-01,2.06933726526059
2013-01-01,1.46483265562714
2014-01-01,1.62222297740821
2015-01-01,0.118627135552435
2016-01-01,1.26158320570537
2017-01-01,2.13011000365963
2018-01-01,2.44258329692818
2019-01-01,1.81221007526015
2020-01-01,1.23358439630637
2021-01-01,4.69785886363739
2022-01-01,8.00279982052117
